Bad Permutation	Even Permutation	ULL	URR	ULR	URL	List of cycle	Original Potential	ListOfPotentialAfteroneSwap	Potentialafter two swap
[0, 1, 2, 3, 4, 5, 6]	True	[]	[]	[]	[]	[]	0	False	False
[0, 1, 2, 3, 5, 6, 4]	True	[]	[4, 5, 6]	[]	[]	[[4, 6, 5]]	7	False	False
[0, 1, 2, 3, 6, 4, 5]	True	[]	[4, 5, 6]	[]	[]	[[4, 5, 6]]	7	False	False
[0, 1, 3, 2, 4, 5, 6]	False	[2, 3]	[]	[]	[]	[[2, 3]]	5	False	False
[0, 2, 1, 3, 4, 5, 6]	False	[1, 2]	[]	[]	[]	[[1, 2]]	5	False	False
[0, 3, 2, 1, 4, 5, 6]	False	[1, 3]	[]	[]	[]	[[1, 3]]	5	False	False
[1, 0, 2, 3, 4, 5, 6]	False	[]	[]	[]	[]	[[0, 1]]	1	False	False
[1, 2, 3, 0, 4, 5, 6]	False	[2, 3]	[]	[]	[]	[[0, 3, 2, 1]]	5	False	False
[1, 2, 4, 3, 0, 5, 6]	False	[2]	[]	[4]	[]	[[0, 4, 2, 1]]	4	False	False
[1, 2, 4, 5, 3, 0, 6]	False	[2]	[]	[4, 5]	[3]	[[0, 5, 3, 4, 2, 1]]	6	False	False
[1, 2, 4, 6, 3, 5, 0]	False	[2]	[]	[4, 6]	[3]	[[0, 6, 3, 4, 2, 1]]	6	False	False
[1, 2, 5, 3, 4, 0, 6]	False	[2]	[]	[5]	[]	[[0, 5, 2, 1]]	4	False	False
[1, 2, 5, 4, 0, 3, 6]	False	[2]	[]	[4, 5]	[3]	[[0, 4, 3, 5, 2, 1]]	6	False	False
[1, 2, 5, 6, 4, 3, 0]	False	[2]	[]	[5, 6]	[3]	[[0, 6, 3, 5, 2, 1]]	6	False	False
[1, 2, 6, 3, 4, 5, 0]	False	[2]	[]	[6]	[]	[[0, 6, 2, 1]]	4	False	False
[1, 2, 6, 4, 0, 5, 3]	False	[2]	[]	[4, 6]	[3]	[[0, 4, 3, 6, 2, 1]]	6	False	False
[1, 2, 6, 5, 4, 0, 3]	False	[2]	[]	[5, 6]	[3]	[[0, 5, 3, 6, 2, 1]]	6	False	False
[1, 3, 0, 2, 4, 5, 6]	False	[2, 3]	[]	[]	[]	[[0, 2, 3, 1]]	5	False	False
[1, 3, 2, 4, 0, 5, 6]	False	[3]	[]	[4]	[]	[[0, 4, 3, 1]]	4	False	False
[1, 3, 2, 5, 4, 0, 6]	False	[3]	[]	[5]	[]	[[0, 5, 3, 1]]	4	False	False
