Bad Permutation	Even Permutation	ULL	URR	ULR	URL	List of cycle	Original Potential	ListOfPotentialAfteroneSwap	Potentialafter two swap
[0, 1, 2, 3, 4]	True	[]	[]	[]	[]	[]	0	[1, 1]	[2, 2, 2, 2]
[0, 2, 1, 3, 4]	False	[1, 2]	[]	[]	[]	[[1, 2]]	5	[6, 6]	[4, 4, 4, 4]
[1, 0, 2, 3, 4]	False	[]	[]	[]	[]	[[0, 1]]	1	[2, 2]	[2, 2, 2, 2]
[1, 3, 0, 2, 4]	False	[]	[]	[3]	[2]	[[0, 2, 3, 1]]	2	[3, 3]	[3, 2, 4, 5]
[1, 3, 2, 0, 4]	True	[]	[]	[3]	[]	[[0, 3, 1]]	1	[1, 4]	[0, 3, 4, 4]
[1, 3, 2, 4, 0]	False	[]	[4]	[3]	[]	[[0, 4, 3, 1]]	3	[3, 4]	[2, 4, 4, 5]
[1, 4, 0, 3, 2]	False	[]	[]	[4]	[2]	[[0, 2, 4, 1]]	2	[3, 3]	[4, 5, 3, 2]
[1, 4, 2, 0, 3]	False	[]	[3]	[4]	[]	[[0, 3, 4, 1]]	3	[4, 3]	[4, 5, 2, 4]
[1, 4, 2, 3, 0]	True	[]	[]	[4]	[]	[[0, 4, 1]]	1	[1, 4]	[3, 0, 4, 4]
[2, 0, 3, 1, 4]	False	[]	[]	[3]	[1]	[[0, 1, 3, 2]]	2	[3, 3]	[2, 3, 5, 4]
[2, 0, 4, 3, 1]	False	[]	[]	[4]	[1]	[[0, 1, 4, 2]]	2	[3, 3]	[5, 4, 2, 3]
[2, 1, 0, 3, 4]	False	[]	[]	[]	[]	[[0, 2]]	1	[2, 2]	[2, 2, 2, 2]
[2, 1, 3, 0, 4]	True	[]	[]	[3]	[]	[[0, 3, 2]]	1	[4, 1]	[4, 4, 0, 3]
[2, 1, 3, 4, 0]	False	[]	[4]	[3]	[]	[[0, 4, 3, 2]]	3	[3, 4]	[4, 2, 5, 4]
[2, 1, 4, 0, 3]	False	[]	[3]	[4]	[]	[[0, 3, 4, 2]]	3	[4, 3]	[5, 4, 4, 2]
[2, 1, 4, 3, 0]	True	[]	[]	[4]	[]	[[0, 4, 2]]	1	[4, 1]	[4, 4, 3, 0]
[3, 0, 2, 1, 4]	True	[]	[]	[]	[1]	[[0, 1, 3]]	2	[2, 2]	[1, 3, 3, 3]
[3, 0, 4, 2, 1]	True	[]	[]	[4]	[1, 2]	[[0, 1, 4, 2, 3]]	3	[5, 4]	[3, 3, 4, 3]
[3, 1, 0, 2, 4]	True	[]	[]	[]	[2]	[[0, 2, 3]]	2	[2, 2]	[3, 3, 1, 3]
[3, 1, 2, 4, 0]	True	[]	[4]	[]	[]	[[0, 4, 3]]	3	[3, 3]	[3, 4, 3, 4]
[3, 2, 4, 1, 0]	True	[2]	[]	[4]	[1]	[[0, 4, 2, 1, 3]]	4	[4, 5]	[3, 6, 6, 4]
[3, 4, 0, 1, 2]	True	[]	[]	[4]	[1, 2]	[[0, 2, 4, 1, 3]]	3	[4, 5]	[4, 3, 3, 3]
[3, 4, 1, 2, 0]	True	[1]	[]	[4]	[2]	[[0, 4, 1, 2, 3]]	4	[5, 4]	[6, 4, 3, 6]
[4, 0, 2, 3, 1]	True	[]	[]	[]	[1]	[[0, 1, 4]]	2	[2, 2]	[3, 1, 3, 3]
[4, 0, 3, 1, 2]	True	[]	[]	[3]	[1, 2]	[[0, 1, 3, 2, 4]]	3	[5, 4]	[3, 3, 3, 4]
[4, 1, 0, 3, 2]	True	[]	[]	[]	[2]	[[0, 2, 4]]	2	[2, 2]	[3, 3, 3, 1]
[4, 1, 2, 0, 3]	True	[]	[3]	[]	[]	[[0, 3, 4]]	3	[3, 3]	[4, 3, 4, 3]
[4, 2, 3, 0, 1]	True	[2]	[]	[3]	[1]	[[0, 3, 2, 1, 4]]	4	[4, 5]	[6, 3, 4, 6]
[4, 3, 0, 2, 1]	True	[]	[]	[3]	[1, 2]	[[0, 2, 3, 1, 4]]	3	[4, 5]	[3, 4, 3, 3]
[4, 3, 1, 0, 2]	True	[1]	[]	[3]	[2]	[[0, 3, 1, 2, 4]]	4	[5, 4]	[4, 6, 6, 3]
